postal_code,long,lat
71032,-93.79302938333369,32.09479434628378
71449,-93.52000673727277,31.542808381012225
04953,-69.2329764020245,44.86018826071784
04419,-69.03140315901638,44.79688274258282
04769,-67.98739288798922,46.68672439125546
04944,-69.64364315580006,44.68734077205552
01833,-70.98210526650986,42.72401272153359
02163,-71.12091137266502,42.366333770659104
02452,-71.21961076033614,42.39357405073345
01070,-72.92390281351014,42.51853794831822
48033,-83.28869097231598,42.46456250987691
49866,-87.57868814587579,46.5211882493766
48150,-83.37260391188609,42.36844433458821
48076,-83.23089318993195,42.4975074020871
48312,-83.00941382868186,42.55846081992875
39365,-89.12605599108227,32.60124423943186
39479,-89.46077460193658,31.535995979559026
39339,-89.00837494411061,33.10146059258349
39174,-90.15949094798376,32.40151833299894
38764,-90.86295677018893,33.79006111081763
