storm_id,usa_atcf_id,date,tclat,tclon
Arlene-2017,AL012017,2017-04-17T16:00:00Z,32.41010847907234,-45.54854333807799
Arlene-2017,AL012017,2017-04-17T16:15:00Z,32.39480794780385,-45.51652258419396
Arlene-2017,AL012017,2017-04-17T16:30:00Z,32.379919640746,-45.48477792980673
Arlene-2017,AL012017,2017-04-17T16:45:00Z,32.36545701313411,-45.45330744468566
Arlene-2017,AL012017,2017-04-17T17:00:00Z,32.35143352020349,-45.42210919860011
Arlene-2017,AL012017,2017-04-17T17:15:00Z,32.33786261718946,-45.39118126131942
Arlene-2017,AL012017,2017-04-17T17:30:00Z,32.32475775932732,-45.360521702612935
Arlene-2017,AL012017,2017-04-17T17:45:00Z,32.312132401852395,-45.33012859225001
Arlene-2017,AL012017,2017-04-17T18:00:00Z,32.3,-45.3
Arlene-2017,AL012017,2017-04-17T18:15:00Z,32.28836737614562,-45.270137522063074
Arlene-2017,AL012017,2017-04-17T18:30:00Z,32.27721482122549,-45.240556860362744
Arlene-2017,AL012017,2017-04-17T18:45:00Z,32.26651599331602,-45.21127724325335
Arlene-2017,AL012017,2017-04-17T19:00:00Z,32.25624455049362,-45.18231789908924
Arlene-2017,AL012017,2017-04-17T19:15:00Z,32.24637415083469,-45.15369805622475
Arlene-2017,AL012017,2017-04-17T19:30:00Z,32.23687845241565,-45.125436943014215
Arlene-2017,AL012017,2017-04-17T19:45:00Z,32.227731113312906,-45.09755378781198
Arlene-2017,AL012017,2017-04-17T20:00:00Z,32.218905791602864,-45.0700678189724
Arlene-2017,AL012017,2017-04-17T20:15:00Z,32.210376145361934,-45.042998264849786
Arlene-2017,AL012017,2017-04-17T20:30:00Z,32.20211583266653,-45.0163643537985
Arlene-2017,AL012017,2017-04-17T20:45:00Z,32.194098511593054,-44.99018531417288
Arlene-2017,AL012017,2017-04-17T21:00:00Z,32.186297840217925,-44.96448037432725
Arlene-2017,AL012017,2017-04-17T21:15:00Z,32.17868747661755,-44.939268762615974
